Id_pelicula,Puntuacion_imdb,Puntuacion_rotten,Directores,Guionistas,Argumento,Duracion,Nombre_pelicula
tt1929361,5.7,,Jordy Dickens,Brockton McKinney,"Rodney Cecil was a small time drug dealer working in the tiny southern town of Carrboro, NC - until his boss tried to murder him and kidnap his girlfriend. Barely escaping with his life, he falls on the grave of an ancient bruja (witch-like creature) and is overcome by an evil spirit. Now RC is out of control! A demon-possessed madman on a search-and-destroy mission t... Leer todo",98.0,Rodney Cecil: Psycho Hero
tt29009897,9.0,97,Naomi Christie,Naomi Christie,"Vivien, an aspiring Asian American singer, takes a job as a karaoke hostess to make quick cash and get her confiscated car back, she must face a bunch of customers with a blatant Asian fetish.",,Object of Desire
tt3407398,,93,,,,,Making Magic
tt8042420,,70,Justin Mackey,Justin Mackey,"Paul and Patricia are feeling the effects of a long marriage. Paul begins to suspect that his wife wants to find love elsewhere. He researches and finds a unique infidelity testing service. The organization, Significant Other, analyzes Patricia and creates a perfect fictional character based on her personality. An actor brings this character to life and attempts to se... Leer todo",,Significant Other
tt4209582,,,Dezz Peterson,Dezz Peterson,"Hosea is the biblical story of a minister who was assigned by God to take on a task he never expected. His obedience to God not only changes his life, but the lives of others connected to his plan.",,Hosea: A Story of Hope and Forgiveness
tt4192098,,,Zachary Butler,Austin Butler,"A man plots revenge on his girlfriend after discovering her with somebody else, but the task becomes difficult as he traps himself into the different outcomes of his situation broken up into dreams.",,Fragments of Time
tt1955042,,,Valentina Arena,Paolo Fronticelli,"A young woman wakes up and she finds out that, in front of her house, a construction site, whose existence she ignored, has been built. When she asks for explications, the site chief tells her that they have to build a railway that will arrive right at her house door.",,Vetro
tt9345952,,100,Matthias Jenny,Matthias Jenny,,,Matador
tt7107042,,,,,,,Blind Date
tt3122402,,89,,,,,Torn
tt5744122,7.9,,Khurram Adnan Sheikh,Khurram Adnan Sheikh,"""In 1909, Dr Iqbal wrote his infamous poem, 'Shikwa.' At the time his work caused some outrage and had him labeled blasphemous, it took some time for people to appreciate that their was no disrespect intended by him, but instead his complain...t to his Lord was one that arose from helplessness and confusion. He lived and witnesses a period of great socio-political tur... Leer todo",,Ashen Streets
tt14404560,,,Aishwary Dubey,Aishwary Dubey,"Disconnected (2021), based on a story of two brothers and their cellphone addiction, and how it impacted their lives, health and relationship.",,Disconnected: The Cellphone Addiction Effects
tt10229482,,98,Kristofer Atkinson,Tarik Lewis,,,The Beasts Beneath
tt14949656,6.1,85,Reka Wijaya,Reka Wijaya,"Mr. Abdi wants his son, Indira to get married soon because he doesn't want his son to be lonely like him. Indira is an independent woman and does not feel there is an interest in getting married.",,Akad
tt15714220,,60,,,,,Golden Boy
