nombre_actor,anno_nacimiento,peliculas,que_hace,premios
Scott Arnold,,"Belle and Sebastian: The Party Line', 'None', 'None', 'None'",Reparto',
Nathan Boreiko,,"Rodney Cecil: Psycho Hero', 'Sick and the Dead', 'None', 'None'",Reparto',
Tj Carr,,"Vidas secretas', 'The Secret Life of Us', 'None', 'None'",Reparto',
Jordy Dickens,,"Rodney Cecil: Psycho Hero', 'Reptchild', 'Sick and the Dead', 'None'","Reparto', 'Dirección'",
Bill Fischer,,"Track 16', 'Rodney Cecil: Psycho Hero', 'Let There Be Life!', ""The Top 5 Reasons You Can't Blame...""","Reparto', 'Producción'",
Ian Hagan,,"Rodney Cecil: Psycho Hero', 'None', 'None', 'None'",Reparto',
Robert Harris,1957,"El escritor', 'El oficial y el espía', 'Múnich en vísperas de una guerra', 'Cónclave'","Guion', 'Producción', 'Reparto'",3
Matt Holtry,,"Rodney Cecil: Psycho Hero', 'None', 'None', 'None'",Reparto',3
Christopher Houldsworth,,"Remnants', 'Mixed Assumptions', 'Pray 2: The Woods', 'Dead End Job'","Reparto', 'Producción', 'Guion'",3
Lela King,,"Rodney Cecil: Psycho Hero', 'None', 'None', 'None'",Reparto',3
Ren Holly Liu,,"Object of Desire', 'In Your Light, Do We See Light', 'Fine China', 'Personal Assistant'",Reparto',3
Alexandra Tobias,,"Austen Academy', 'None', 'None', 'None'",Reparto',3
Sam Morgan,,"Shameless', 'American Woman', 'Miami Bici 2', 'Object of Desire'","Reparto', 'Guion', 'Dirección'",
Joshua Polit,1987,"Cambiadas al nacer', 'Push', ""Devil's Couriers"", 'Object of Desire'",Reparto',
Patrick Sanderson,,"Richie Rich Hustla', 'The Idol', 'Mike', 'Bite Size Halloween'","Reparto', 'Dirección', 'Guion'",1
Josh Pafchek,,"""Honey Don't!"", 'Con amor, Victor', 'Runaways', 'Platónico'","Reparto', 'Guion', 'Dirección'",9
Anishka Nawagamuwa,,"Object of Desire', 'None', 'None', 'None'",Reparto',9
Maggie Mcgee,,"Tina', 'None', 'None', 'None'",Reparto',9
Victoria Tucha,,"Object of Desire', 'None', 'None', 'None'",Reparto',9
Shayan Siren,,"Object of Desire', 'None', 'None', 'None'",Reparto',
Corey Camperchioli,,"Femme', 'Conexión asesinato', 'The Grey Matter Archives', 'A Window on the World'","Reparto', 'Guion', 'Localización'",
Paul Castro Jr.,,"The Skeleton Twins', 'Personas, lugares y cosas', 'Sin límites', 'God Friended Me'","Reparto', 'Producción', 'Dirección'",1
Donavon Dietz,,"El puente de los espías', 'Ley y orden: Unidad de Víctimas Especiales', 'Un muchacho llamado Norte', 'The 3 Year Old Bris'",Reparto',1
Elizabeth Evans,,"FBI: Most Wanted', 'The Burned Photo', 'Redrum', 'Starfinder'","Reparto', 'Guion'",1
Justin Rodriguez,,"Lone Star Enigma', 'American Terror Tales 3', 'Transmission from Hell', 'None'","Dirección', 'Reparto', 'Guion'",1
Lilli Stein,,"La maravillosa Sra. Maisel', 'The Blacklist', 'Evil', 'None'",Reparto',1
Jared Bajoras,,"Deference', 'The Gate Agent', 'NWL: The National Wrestling League', 'The Unsung'","Reparto', 'Producción', 'Guion'",
Patrick Fetzko,,"The Unsung', 'NWL: The National Wrestling League', 'Significant Other', 'None'","Reparto', 'Equipos adicionales'",
Samantha Strelitz,1986,"Red Dead Redemption II', 'Vinyl', 'DieRy', 'Pluralidad'",Reparto',
Sé Marie Volk,1988,"Artificial Existence', 'Movers Ultimate', 'Unsinkable', 'Careful Not to Cry'","Reparto', 'Producción', 'Dirección'",2
Dezz Peterson,,"Hosea: A Story of Hope and Forgiveness', 'Double Betrayal', 'Trapped', 'Trapped in the Elevator'","Producción', 'Guion', 'Dirección'",
Imani Jackson,,"Hosea: A Story of Hope and Forgiveness', 'Tech On', 'None', 'None'",Reparto',
Kasie Spencer,,"Seeing Tomorrow', 'None', 'None', 'None'",Reparto',
Tamicka Scruggs,,"Till Death We Do Part', 'Double Betrayal', 'Upstairs', 'Kesler'","Reparto', 'Dirección', 'Producción'",
Donald Don P. Peterson,,"Hosea: A Story of Hope and Forgiveness', 'Oh Ye of Little Faith', 'None', 'None'","Reparto', 'Banda sonora'",
Eric Graves,,"Jóvenes ocultos', 'None', 'None', 'None'",Reparto',
Theresa Burrage,,"Hosea: A Story of Hope and Forgiveness', 'None', 'None', 'None'",Reparto',
Andrea Heard,,"Hosea: A Story of Hope and Forgiveness', 'Squad', 'Till Death We Do Part', 'BusStop'",Reparto',
Dachelle Bufford,,"Hosea: A Story of Hope and Forgiveness', 'None', 'None', 'None'",Reparto',
LaTonia Young,,"Hosea: A Story of Hope and Forgiveness', 'Oh Ye of Little Faith', 'None', 'None'",Reparto',
Austin Butler,1991,"Elvis', 'Érase una vez en... Hollywood', 'Los muertos no mueren', 'The Carrie Diaries'","Reparto', 'Producción', 'Banda sonora'",27
Gester Veas,,"Fragments of Time', 'None', 'None', 'None'","Reparto', 'Cámara y electricidad'",27
Jordan Pryor,,"En honor a la verdad', 'None', 'None', 'None'",Reparto',27
Paolo Fronticelli,,"La forza non basta', 'Vetro', 'None', 'None'","Reparto', 'Equipos adicionales'",27
Paola Giancaterino,,"Vetro', 'None', 'None', 'None'",Reparto',27
Édouard Court,,"Ni le ciel ni la terre', 'Les Chamois', 'La source', 'Le vrai lieu'",Reparto',
Félix Kysyl,,"Mal genio', 'Miséricorde', 'Monsieur Chocolat', 'Malaterra'",Reparto',
Ludovic Berthillot,1969,"Distrito 13', 'Wasabi: El trato sucio de la mafia', 'El beso del dragón', '2 días en París'","Reparto', 'Dirección'",
Mauricette Gourdon,,"Sauveur Giordano', 'La oportunidad de mi vida', 'Tristan', 'Vuelvo a casa'",Reparto',
Christophe Tek,,"Denis', 'La vieja guardia 2', 'Strangers', 'Sin dejar huellas'",Reparto',
Desiree Bailey,,"Giselle', 'Torn', 'None', 'None'","Reparto', 'Dirección', 'Guion'",
Sakina Flint,,"Torn', 'None', 'None', 'None'",Reparto',
Terry Hodge,,"A Rewritten Story', 'None', 'None', 'None'",None,
Anthony Johnson,1966,"Friday', 'Infierno en Los Ángeles', 'El club de las strippers', 'Conectados'","Reparto', 'Guion', 'Especialistas'",
Marcus Zollicoffer,,"Life Changes Everything: Discover Zac Ryan', 'Ellen Degeneres: Can I Have Your Attention Please?', 'Johnny Awful', 'Torn'","Reparto', 'Equipos adicionales'",
Imran Arooj,,"Ashen Streets', 'Beyound the Glam', 'None', 'None'","Reparto', 'Producción'",
Firdaus Jamal,,"Khuda Aur Muhabbat', 'Muftbar', 'Alladin', 'Nargis'",Reparto',
Syed Faris Pervez,,"Polis Evo', 'Ashen Streets', 'Saya E Khuda E Zuljalal', 'Lost'","Reparto', 'Especialistas'",
Saba Qamar,1984,"Hindi Medium', 'Baaghi', 'Tera Pyar Nahi Bhoole', 'Lahore Se Aagey'",Reparto',4
Pavitra Jain,,"Disconnected: The Cellphone Addiction Effects', 'None', 'None', 'None'",Reparto',4
