,Ceremonia,Mejor película,Mejor director,Mejor actor,Mejor actriz
0,2000, American Beauty, S. Mendes, K. Spacey, H. Swank
1,2001,  Gladiator, S. Soderbergh, R. Crowe, J. Roberts
2,2002, A Beautiful Mind, R. Howard, D. Washington, H. Berry
3,2003, Chicago, R. Polanski, A. Brody,  N. Kidman
4,2004, The Lord of the Rings: The Return of the King, P. Jackson, S. Penn, C. Theron
5,2005, Million Dollar Baby, C. Eastwood, J. Foxx, H. Swank
6,2006, Crash, A. Lee, P. S. Hoffman, R. Witherspoon
7,2007, The Departed, M. Scorsese, F. Whitaker, H. Mirren
8,2008, No Country for Old Men, J. Coen E. Coen, D. Day-Lewis, M. Cotillard
9,2009,  Slumdog Millionaire, D. Boyle, S. Penn, K. Winslet
10,2010, The Hurt Locker, K. Bigelow, J. Bridges, S. Bullock
11,2011, The King's Speech, T. Hooper, C. Firth,  N. Portman
12,2012, The Artist, M. Hazanavicius, J. Dujardin, M. Streep
13,2013, Argo, A. Lee, D. Day-Lewis, J. Lawrence
14,2014,   12 Years a Slave, A. Cuarón, M. McConaughey, C. Blanchett
15,2015, Birdman or , A. G. Iñárritu, E. Redmayne, J.Moore
16,2016, Spotlight, A. G. Iñárritu, L. DiCaprio, B. Larson
17,2017, Moonlight, D. Chazelle, C. Affleck, E. Stone
18,2018, The Shape of Water, G. del Toro, G. Oldman, F. McDormand
19,2019, Green Book, A. Cuarón,  R. Malek, O. Colman
20,2020, Parasite, Bong J.,  J. Phoenix, R. Zellweger
21,2021, Nomadland, C. Zhao, A. Hopkins, F. McDormand
22,2022,  CODA, J. Campion, W. Smith, J. Chastain
23,2023, Everything Everywhere All at Once, D. Kwan D. Scheinert, B. Fraser, M. Yeoh
24,2024,  Oppenheimer, C. Nolan, C. Murphy, E. Stone
